grant_ID_with_letters,amount_requested,approval_route,board_approval_date,concept_summary,project_summary,project_title,fip_title,grant_officer,state,status,,,,
G-2205-46,245470,Next Approval Cycle,2022-08-02,"CountryX is a key European country with regard to tackling climate change via transformation of the current energy system. Frank Bold as a legal expert uses legal strategies to limit the role of fossil fuels in the energy mix in CountryX. With this grant Frank Bold will undertake efforts to challenge fossil fuel consumption in CountryX by developing strategic cases on existing power plants that can be consequently replicated by other partners across the country, thus multiplying their impact and using gained know-how. Grantee will focus on legal aspects of renewable energy communities development as its role in the upcoming energy transformation should be crucial for energy security and diversification of energy sources. Under the grant Frank Bold will also monitor crucial legislative processes and provide focused legal support to the partners within the anti-coal coalition regarding specific topic areas relevant for coal industry (IED/BATs, air quality, environmental liability, public participation, access to information, state aid etc.). All activities are prepared and carried out together with key partners active in the regions or on the national level, working on particular facility or advocating for better regulation with aim to strengthen the overall impact by concerted actions. The project’s objective also focuses on ambient air quality including the work aimed at rapid reduction of low stack emission and effective implementation of air quality plans and regulations.",to support transformation of the energy sector in CountryX towards less fossil-intensive variant.,energy sector in CountryX,0,Alex Johnson,granted,managed,,,,
G-2205-47,40882,Next Approval Cycle,2023-06-19,QCF pass-through,to ensure the UK government puts the transport sector firmly on track to net zero.,QCF pass-through,0,Pat Taylor,closed,managed,,,,
G-2205-48,220477,Next Approval Cycle,2024-01-09,QCF pass-through,to drive decarbonisation of UK transport.,QCF Pass-through - Transport,0,Jamie Smith,granted,managed,,,,
G-2205-49,206123,Next Approval Cycle,2023-04-19,"QCF pass-through, 2022 renewal","to embed support for climate action across the UK’s conservative movement and internationally, and support climate policy wins.",Building conservative movement support for climate action,0,Morgan Lee,closed,managed,,,,
G-2205-50,114695,Next Approval Cycle,2023-03-25,Renewal of 2021 grant to fund a staff position in Yorkshire & Humber TUC. This staff member is focussed on engaging with the Just Transition Commission in the region and engaging with union reps and carbon intensive businesses in climate.,to co-create a just climate transition for workers and businesses in Yorkshire and the Humber through a first of its kind Social Partnership initiative.,Just climate transition,0,Jordan Davis,granted,managed,,,,
G-2205-51,95245,Next Approval Cycle,2023-12-17,"Selahattin Hakman is the chair of the Advisory Council and a member of the Steering Committee of the SHURA Energy Transformation Center. Thanks to his reputation, experience, and network in the energy sector as the former CEO of EnerjiSA -one of the largest and most reputable energy companies in Turkey-, Mr. Hakman provides invaluable input to the constituency-building efforts of the SHURA Energy Transition Center, he chairs the high-level advisory board of SHURA, and provides insights regarding the state of play in the Turkish energy sector. 

The grant is directly linked to the ""engage & educate policy and decision-makers"" and ""produce analysis and research, e.g., economic risks of coal"" components of the ECF’s clean power work in Turkey.","to continue high-level constituency building and strategic guidance for the SHURA-Energy Transition Center, as well as provision of regular feedback on the state of play in the Turkish coal and energy sector.",0,Consultancy for high-level constituency building for Turkey Energy Forum,Jamie Smith,closed,managed,,,,
G-2205-52,92613,Next Approval Cycle,2022-01-13,"The aim of the follow-up grant is to continue work on raising public awareness to issues that are strategic for the future of energy market but often difficult to understand for readers without deep knowledge. Putting those issues in the spotlight (like in case of Russian sanctions, energy prices, capacity market, the role of ETS system, the influence of gas crisis and war for plans of building of new gas plants in CountryX, the context of new EU wide plans for energy sector) and adding important facts unknown to public opinion.",to help the public opinion to understand  energy transition and consequencies of decarbonization”,energy transition,0,Pat Taylor,granted,managed,,,,
G-2205-53,128215,Next Approval Cycle,2023-08-08,"The aim of the grant is to extend current scope of the project which was focused on training and coaching climate activists from highly industrialized area (Silesian Climate Movement) to other local communities in Silesia. The grantee, trainers collective specializing in community organizing methods, plans to reach out to specific locations at Silesia to check local potential for engagement in environmental and socioeconomic issues in towns that were so far of mainstream campaigning. If successful the project will help in building a common ground with local audiences that are far from usual environmental savvy groups.",to stimulate the dialogue with local communities with mining history affected by energetic transitions and involve them in climate actions.,Mining communities,0,Alex Johnson,closed,managed,,,,
G-2205-54,59608,Next Approval Cycle,2023-01-15,"The aim of the project is to equip the next generation of political and social leaders with in-depth knowledge on climate neutrality. The project is run by the oldest nationwide non-governmental organization in CountryX dedicated to development of responsible leadership based on values. The School for Leaders educates leaders of public life and creates a network of graduates. It promotes a model of conscious leadership based on responsibility, building trust and cooperation, courage and effectiveness in implementing changes, openness to diversity, respect for democracy. It responds to new trends and phenomena of social and political life. It is a networking organization, creating a specific hub of knowledge and competence, whose resources are used by the alumni, reacting quickly and adequately to their needs.   The project will allow the leaders to accurately diagnose the situation, see the opportunities and threats relevant to the area, recognize the right combination of factors that can determine the success (or failure) of selected actions - according to their environment and scale of impact. If successful it helps the climate community in CountryX to build the bridge with new leaders that will be responsible for future development of the country.",to increase knowledge polish MPs and cities authorities (Foundations alumni network members) about implementation of climate neutrality in CountryX and strengthening network of local- and nation-wide decision makers around climate change challenges.,Fit for 55 implementation awareness raising,0,Alex Johnson,closed,managed,,,,
G-2205-55,197725,Next Approval Cycle,2024-04-08,"The aim of the project is to show how companies can reduce their dependence on Russian energy and raw material imports and what policy instruments are needed to support companies in this effort. Together with member companies, Stiftung KlimaWirtschaft (the Climate Economy Foundation) wants to develop political framework conditions in order to be able to communicate publicly on this topic in the fall.",to develop policy recommendations to strengthen business resilience and climate protection in light of the “Zeitenwende” and to show how companies can reduce their dependence on Russian energy and raw material imports and highlight which political instruments are needed to support companies in this effort.,Business resilience and climate protection in light of the “Zeitenwende”,0,Pat Taylor,closed,managed,,,,
G-2205-56,219086,Next Approval Cycle,2023-02-02,"The aim of this grant is to further facilitate the process toward a national consensus in Hungary on the importance of climate change and climate action, building on the work of the Green Policy Center, a climate think tank focusing on the Christian-conservative intelligentsia and public. Thanks to the work of previous years, GPC has established itself as the proper source of information for the conservative media and audiences, as well as a partnership with several organizations. During the period of this grant, the planned activities include a monthly radio show hosted by the GPC on the most influential Christian-conservative radio station; creating and disseminating policy papers to the decision-makers (political parties, MPs, committees, etc) and to the media; creating and mainstreaming Hungary’s first climate neutrality progress report; organizing the 3rd, already traditional “Climate-neutral Hungary 2050” conference.",to facilitate the process towards a national consensus in Hungary on the importance of climate change and meaningful climate action in Hungary,to facilitate the process towards a national consensus in Hungary on the importance of climate change and meaningful climate action in Hungary,0,Morgan Lee,granted,managed,,,,
G-2205-57,32913,Next Approval Cycle,2022-11-03,"The Climate Investment Coalition (CIC) pledged 130bn USD towards climate solutions at COP26. The grantee is aiming to facilitate a credible reporting framework for CIC members at COP27, because so far there are neither short, mid and long-term net-zero targets, nor a solid definition of what climate solutions are (and what not), nor an annual tracking of these climate solution commitments’ implementation. Making use of robust, scientifically sound and reliable 1.5°C no/low overshoot scenarios and pathways such as OECM are foreseen to prevent climate solution washing.","to deliver concrete and transparent reporting of CIC’s climate solution investments starting at COP27, incl. forward-looking investment planning for 2022-24, 2025-30, using a detailed and strengthened definition of ‘climate solutions’ using scientifically recognised and sound definition frameworks such as OECM.",Climate Investment Coalition Reporting,0,Jordan Davis,granted,closed,,,,
G-2205-58,274163,Next Approval Cycle,2023-10-02,"The end of 2022 and 2023 will be a critical period to influence the debate on sustainable agri-food policies in Spain (CAP national strategic plan review, multi-level elections) and at EU level (Sustainable Food Systems Law). Within this window of opportunity and in the context of continuous increased support for engagement in Spain, this grant will build up on a previous grant to RMAe to further strengthen plural and multi-level political action for scaling agroecology in Spain. The present project will in particular strengthen climate-progressive agro-ecological farmers’ voice in Spain and Europe, improve their analysis, cooperation and communication skills, and strengthen multilevel governance.","to strengthen the role of Red de Municipios por la Agroecología (RMAe) to influence the debate on sustainable agri-food policies in Spain, and especially through the farmers’ network created by RURBACT-Ae.",linkages for strengthening plural and multi-level political ACTion for scaling Agroecology in Spain (RURBACT-Ae) II,0,Pat Taylor,granted,managed,,,,
G-2205-59,81907,Next Approval Cycle,2023-05-22,"The EU is considering several laws that will have an impact on forest peoples globally, notably the proposed Regulation on deforestation-free supply chains. The ECF Land Use programme is supporting efforts to strengthen this and other laws that will be finalised in 2022 and 2023. It will be essential to include the perspective of forest peoples, not just to ensure that their perspective and their human rights are taken into account, but also to strengthen political support for laws by including such voices in a public debate that is too often dominated by industry or governments with potentially different interests. This project would continue support to the Forest Peoples' Programme to bring these voices into the public debate in Brussels, both indvidually and in concert with other members of EU Forest Coalition.","to improve integration of key concerns of indigenous and forest peoples in EU policies and partnerships related to climate and nature protection, business, trade and human rights",Bring forest communities' voices into EU advocacy,0,Jordan Davis,closed,managed,,,,
G-2205-60,139236,Next Approval Cycle,2024-02-12,"The EU is currently reliant on global supply chains to feed its economy and create economic prosperity for its citizens. Resilience to global supply shocks has become a key issue, following several supply chain shocks such as the Russian invasion in Ukraine, the Covid-19 pandemic, the global chip shortage and the Suez Canal backlog. The EU needs to find ways to rebalance global value chains without turning its back on the benefits of global trade. The shift to renewable energy production and away from a fossil-fuel based economy will have a positive effect on resilience (because of independence from oil and gas supplies). But this transition must be managed mindfully to ensure that new dependencies are not created. Circular Economy approaches can play a key role in building resilience and prosperity for the EU-economy. With this DPE Systemiq will analyse and highlight those actions and policy changes that can most quickly secure the EU’s raw material supply and value chain resilience through circular economy measures. The analysis will will focus on the international value chain dependencies of the EU industry, with particular focus on materials (raw and processed). It will not focus on energy and food supplies.",to analyse policy changes that can quickly secure the EU’s raw material supply and value chain resilience through circular economy measures.,0,International value chain dependencies of the EU industry,Pat Taylor,closed,managed,,,,
G-2205-61,63939,Next Approval Cycle,2022-02-18,"The European Public Health Alliance (EPHA) will continue to advance the voice of health in EU advocacy on key files for electromobility and air quality, including the Ambient Air Quality Directive and the Euro 7 emission standards. We expect a grant focused on collaborating with their members to secure EU and national political awareness and policy changes on those files.",to keep building up pressure on changing European and national policies on transport by highlighting the health benefits of the phase-out of the internal combustion engine and the transition to zero-emission and active transport.,Clean Cities Campaign - EU,0,Pat Taylor,closed,managed,,,,
G-2205-62,126141,Next Approval Cycle,2023-10-17,"The Fair Trade Advocacy (FTAO) project, consists in two main objectives.
The first one is to proactively push for fair and sustainable trade policy as an instrument to achieve the objectives of the Paris Agreement and enable a global fair ecological transition by conducting Desk research and geopolitical analyses.
The second one is rot foster the Network of already certified European Young Fair Trade Advocates (Alumni Network) and together further support a fair and ecologically sustainable EU Trade Policy.
Some of the specific activities include:
- develop a manifesto on how EU trade and trade-related policies can contribute to a global fair ecological transition, with the goal to raise general political level of ambition to make links of climate justice and trade justice. 
- organises webinars and workshops on the needs of smallholder farmers and workers outside the EU, especially in face of climate change, and how a truly sustainable trade policy shall work for them and as enabler of the global fair ecological transition
- FTAO will also publish communications and position papers
- Will organise ¨constituency¨ meetings between young people and policy makers will become an additional way to higher level of ambition and priority given by policy makers to the issue of climate and trade justice.
- It will work actively on mobilising young people in building bridges with Global South partners in connection with trade agreements
This project fits in the overall strategy of the Trade for climate Campaign as our core objective is to support the advancement of the alignment of trade and climate both at the EU level and internationally.","to empower young Europeans to shape the public debate on the need for EU trade and trade-related policies that are fair for disadvantaged artisans, smallholder farmers and workers in supply chains and serve as a tool for the implementation of the Paris Agreement.",Youth empowerment in the public debate on sustainable EU trade policy,0,Alex Johnson,closed,managed,,,,
G-2205-63,127951,Next Approval Cycle,2022-11-07,"The Frank Bold Society will carry out monitoring of energy related strategies and legislation in preparation, provide expert feedback and recommendations for amendments to speed up shift from coal to renewables in this critical phase. Special focus will be given to enabling legislative and funding environment for energy communities and capacity building of the energy democracy movement in Czechia. Scoping work on possibilities of decarbonizing the heating sector by energy community projects will start and results shared with both Czech and CEE stakeholders.",to support transformation of the energy sector in the Czech Republic towards less fossil-intensive and more decentralized alternatives by developing and carrying out legal strategy against existing coal and lignite plants and contributing our legal expertise to the current coal phase out and renewables development debate,Energy crises response: decisive push to tip the scales from coal to RES,0,Morgan Lee,closed,managed,,,,
G-2205-64,284833,Next Approval Cycle,2024-05-11,The goal of the project is to initiate local citizens’ initiatives on the phase-out of fossil gas use in municipalities. It will address municipality owned CHP plants mainly (providing heat and power) to change local heat supply and move to renewable solutions. Citizens’ initiatives are an effective tool to drive local change as proven by previous and running projects by BBK and Umweltinstitut Munich.,to initiate local citizens’ initiatives  to shut down gas- fired heat and power plants and replace them with renewable sources for heat and electricity,Local citizens initiatives for renewable sources for heat and electricity,0,Alex Johnson,closed,managed,,,,
G-2205-65,153569,Next Approval Cycle,2024-04-02,"The grant will focus on South Africa and build from existing work that identified key quantitative gaps towards a net zero transition in South Africa. 

While there is an active discussion on decarbonization at the macro level in South Africa, the practical details on how transition will look like at asset level is unclear.  

The Grant will be synergistic with the grants already being made towards Earth Life and PCC.",to explore decarbonisation routes for one or a related group of large emitting assets in South Africa.,0,Exploring decarbonisation routes for large emitting assets in South Africa,Alex Johnson,granted,managed,,,,
G-2205-66,230002,Next Approval Cycle,2024-02-04,"The grant will support Internews Europe’s Earth Journalism Network in strengthening climate-related reporting to advance public understanding of the climate crisis and drive policy action.  

- The grant will focus on India and South Africa.   
- Both countries have vibrant media discussions on net zero and the transition.   
- There is still relatively low capacity in the media around implications and practicalities of net zero.   
- The grant aims to complement the work we are supporting in India with elected representatives and in South Africa with the PCC.",to support Internews Europe’s Earth Journalism Network in strengthening climate-related reporting to advance public understanding of the climate crisis and drive policy actions in two specific countries: India and South Africa.,"Strengthen media coverage of climate change, renewable energy, and to inform and support policies.",0,Jordan Davis,closed,managed,,,,
G-2205-67,61193,Next Approval Cycle,2023-09-17,"The grantee is to influence key EU and international financial policy developments (e.g. Climate Benchmark Regulation, SFDR, G20SFWG roadmap input on disclosures, IOSCO ESG rating and data product provider supervision, COP27 net zero alliances criticism) to integrate climate impact-driven 1.5°C no/low overshoot scenario alignment measurement as a scientifically sound way to reduce GHG emissions in the real economy via the financial sector. Continuing the grantee’s participation in GFANZ advisory panel and portfolio alignment workstream serve as challenge function via inside track. Furthermore, technical guidance for investors to challenge ITR and carry out a sensitivity analysis are foreseen, plus development of climate-related engagement outcome tracking on utilities and a technical blueprint for integrating private equity into PACTA for investors.",to further support the mainstream adoption of scientifically rigorous impact-driven climate scenario analysis as a methodology and tool for the financial sector to drive reductions of GHG emissions in the real economy.,"GFANZ, CA100+, ITR critic; fin. policy work on indexes/benchmarks, NZ alignment methods and ESG ratings, climate disclosures",0,Alex Johnson,granted,managed,,,,
G-2205-68,246481,Next Approval Cycle,2023-01-22,"The green REV Institute has been heavily involved in building partnerships and collaborations, advocacy efforts, and real inclusion of more progressive policy makers, influencers, academia, and activist communities in the implementation, and shaping of the European Green Deal and especially the Farm 2 Fork and CAP. The Land Use Programme has CountryX as one of its 4 focus countries for its work on food and farming and we are cooperating closely with the Polish programme to support this grantee to continue engaging Polish as well as Ukrainian organisations on food and farming issues.",to further develop an advocacy coalition of civil society organizations and engage them in systemic activities for just food system transition.,Polish food transition,0,Jamie Smith,closed,closed,,,,
G-2205-69,95741,Next Approval Cycle,2024-01-04,"The IEECP will conduct an update of their recently published study on a socially-just renovation wave. The rationale for having an update so soon is because of the high energy prices that have been increasing since the original study commenced. The study, which was based on the price trajectory of the EU Reference Scenario 2020, would benefit from more up-to-date figures showing the impacts of building policies in reducing energy costs and increasing disposable income. The Buildings Programme will work closely with the Southeast Europe Programme on this project.",to conduct an update of their recently published study on a socially-just renovation wave,0,Study update using higher energy prices,Alex Johnson,closed,closed,,,,
G-2205-70,248272,Next Approval Cycle,2022-12-11,"The Lower Silesian Institute for Energy Studies (DISE) is the Polish Think Tank, actively involved in the issues of energy security, gas market liberalisation, financial management of energy companies and efficiency of infrastructure projects in power generation. DISE as the ECF long term partner was actively involved in promoting and advocating for sustainable transformation of the polish energy market with particular focus on decreasing the use of fossil gas in the energy mix. The ultimate objective of this project is to develop science-based arguments proving that due to supply chain bottlenecks, initial plan for expansion of gas in Polish and European economies will need to be revised. Grantee will develop analysis to assess geopolitical aspects of gas supply to Europe and will evaluate its implications on the gas strategy in CountryX. The analysis will assess if the alternative supply routes and production from other countries such as US, Qatar, Norway will be sufficient to cover that gas gap and will secure gas supplies at the level required for covering the needs assumed in Polish Energy Policy by 2040. Key recommendations from the report will be used in advocacy work to highlight the supply chain bottlenecks in CountryX’s plan for accelerating the use of fossil gas in national economy.","to assess geopolitical aspects of gas supply to Europe and to evaluate its impactions on the gas strategy in CountryX, which may need to be adequately revised.",Gas in CountryX,0,Jordan Davis,closed,managed,,,,
G-2205-71,5858,Next Approval Cycle,2023-01-24,"The new German government is willing and open to set a much more ambitious and stringent industry transformation agenda than their predecessors. However, care needs to be taken that the level of ambition will hold true in their policies, that potentially unpopular (i. a. with NGOs) yet essential measures like CO2-infrastructure for CCS or CCU won’t be left out, and the transformation program actually facilitates the desired changes and doesn’t mainly merge into a partially self-written support program of industrial actors. 

A relevant number of environmental NGOs are working on the Fit for 55 Package at the EU level, while fewer organisations are working on Germany-specific industry issues in general. With this grant Germanwatch will focus particularly on the political processes around CCS in Germany, the immediate climate protection package of the German government, steps towards the development of a national circular economy strategy, and on the domestic chemical industry.  

The overall goal of this project is to strengthen industry transformation action by German stakeholders and the government. In order to achieve this, Germanwatch will ensure better coordination among the NGO community, informed by cooperation with thinktanks and further stakeholders. This will generate impulses which will support the development of policies and regulations mainly of the German governing coalition and its Ministry of Economy and Climate.",to advance the discussion on the right policy mix and its implementation for enabling German (and EU) industry to reach the climate goals.,Industry transformation action by German stakeholders and the government,0,Pat Taylor,closed,managed,,,,
G-2205-72,167070,Next Approval Cycle,2023-09-10,"The objective of the grant is to support the EEB’s advocacy vis-a-vis the EU institutions on promoting the needed scale and speed of the uptake of renewables but insisting that it needs to be done in nature-friendly, people-centric manner, without undermining the existing environmental acquis. The grant will also help to enhance the EEB’s coordination role of the EEB's members and the wider environmental movement so that NGOs push for strengthened ambition for nature-friendly renewable energy roll-out supported by EU policies and recognition that higher RES roll-out is possible and desirable.",to promote rapid uptake of renewable energy solutions in a nature-friendly and people-centric way.,Nature friendly renewables,0,Morgan Lee,granted,managed,,,,
G-2205-73,22084,Next Approval Cycle,2023-11-12,"The objective of this grant is to promote the Turkish no-coal movement via the designated social media accounts and web site under the “Future without Coal (Termiksiz Gelecek)” brand, in order to support relevant campaigns and provide information flow between NGOs, grassroot movements, journalists, and environmental groups supporting relevant campaigns. In addition, YUVA foundation is going to undertake an introductory scoping work in order to evaluate the prospects for just transition work in Soma, which is one of the main lignite mining regions in Turkey and scene of the worst mine disaster in Turkey's history back in 2014.

The grant is linked to the ""build strong civil society and network”, “strategic communications to shift the narrative and mobilise new voices” and “engage and mobilise citizens for a just energy transition” components of the ECF’s clean power work in Turkey.","to promote the no-coal movement in Turkey via the “Future without Coal (Termiksiz Gelecek)” website and social media accounts, in order to support relevant campaigns and provide information flow between NGOs, journalists, and environmental groups, and to undertake an introductory scoping work that will evaluate the prospects for just transition in Soma and Kinik.","Support the work against coal projects in Turkey through facilitating information flow among NGOs, journalists, and environmental groups",0,Jordan Davis,closed,managed,,,,
G-2205-74,247461,Next Approval Cycle,2024-01-17,"The objective of this project is to push the Slovak government towards more transparent, better coordinated and more progressive positions on EU climate policies – especially the development of renewables and energy savings – and ensure that politicians will deliver on their promises, prepare an ambitious national Climate Law and channel public finance to climate friendly solutions that at the same time prevent energy poverty. To achieve these goals, the grantee will coordinate the activities of Slovak climate movement and fill in potential gaps in advocacy and communication work that will be identified.",to make Slovak government’s climate action more progressive and responsible nationally and on EU level,To push Slovak government towards progressive climate policy,0,Alex Johnson,closed,managed,,,,
G-2205-75,71647,Next Approval Cycle,2023-07-20,"The objectives of this grant are twofold: Levego will continue its activities in Hungary as part of the Clean Cities Campaign, as well as advocating for the reduction of oil use in Hungary. As part of the CCC campaign, Levego aims to get a commitment from the Budapest Municipality to instate a road toll on ICE vehicles by 2030. In addition, Levego will use grassroots efforts to gather public support for anti-oil measures, such as electrification and alternative transport",to continue and expand the activities of the 2021/22 Clean Cities Campaign in Hungary and contribute to the reduction of oil use in Europe,CCC and anti-oil in Budapest,0,Morgan Lee,closed,managed,,,,
G-2205-76,220440,Next Approval Cycle,2022-01-02,"The overall aim of this SEVA-ECF cooperation is to contribute to decreasing greenhouse emissions (GHE) in the road transport sector in Slovakia. The critical goal in this respect is to encourage the zero-emission vehicle (ZEV) uptake and advocate for the transition toward zero-emission road transport, including the need to decrease the share of ICE vehicles (new and second-hand cars). Furthermore, the objective is also to advocate for the automotive and transport industry's transition towards electrified powertrain.
The activities will be implemented in 2022 and partially also in 1st half of 2023""",to encourage the expert discussion and decisions about the policy promoting zero-emission (electric) vehicles in Slovakia,Strategy on the zero-emission vehicle market in Slovakia,0,Jordan Davis,closed,managed,,,,
G-2205-77,107612,Next Approval Cycle,2023-06-14,"The overall long-term goal of the project is: 
No development of new coal (mines and TPPs) and enabling environment for new renewable energy developments; bringing current TPPs in accordance with EU pollution standards; 

while the goal of this grant period is: 
To decarbonise North Macedonia through preventing harmful fossil fuel projects and advocating for clean alternatives and just transition.

To achieve these goals, Eko-svest has several objectives grouped into two components: fossil fuels advocacy, covering the topics of coal, just transition, gas and alternatives, and advocacy for reduction of energy demand focused on promoting energy efficiency.

Component 1 objectives – Fossil fuels advocacy
1.1 Implement advocacy related to fossil fuels, in particular coal and just transition processes 
1.2 Following development of bylaws ensuing from NECP and Climate Action Law
1.3 Following and reacting on processes on EIA procedures for TPPs, new coal mines and gas-related projects
1.4 IPPC permit for TPP Bitola is in line with BAT according the IED Directive

Component 2 objectives – Advocacy for reduction of energy demand
2.1   Assess gaps in transposition of energy efficiency-related acquis and implement targeted advocacy
2.2   Implement campaign for households using expert calculations to increase interest in EE measures and thus reduce energy demand",to decarbonise North Macedonia through preventing harmful fossil fuel projects and advocating for clean alternatives and just transition,Eko-Svest 2022,0,Jordan Davis,closed,managed,,,,
G-2205-78,77553,Next Approval Cycle,2023-02-10,"The overall objective of the proposal is to seize the opportunity to mainstream the commitment of the Western Balkans countries to achieving net zero emissions by 2050, by using the current policy and political processes, highlighting the Energy Community Treaty and EU accession process, primarily advocating for a 2030 climate and energy ambition, as the driver for the coal phase out. In order to achieve the long term effect of the desired outcomes of decarbonising the WB region by 2050, CAN needs to apply a high level political pressure on regional leaders through international and European level stakeholders, such as European Union, Energy Community and UNFCCC, as well as the bottom up campaigning stemming from the countries themselves, that will also inform affected communities about potential fossil free solutions.
The grant aims to achieve the following: 
? Strengthen the dialogue between stakeholders in setting adequate 2030 climate and energy targets, allowing climate neutrality by 2050; 
? Maintain and further build a strong CSO network in the region; 
? Ensure the development of credible and ambitious National Energy and Climate Plans in the region; 
? Set out the coal phase out dates in line with climate neutrality goals; 
? Enhance the involvement of the Brussels bubble in the Western Balkans affairs.","to seize the opportunity to mainstream the commitment of the Western Balkans countries to achieving net zero emissions by 2050, by using the current policy and political processes, highlighting the Energy Community Treaty and EU accession process, primarily advocating for a 2030 climate and energy ambition, as the driver for the coal phase out.",WB decarbonisation,0,Morgan Lee,closed,managed,,,,
G-2205-79,145094,Next Approval Cycle,2022-01-08,"The overall objective of this grant is to build financial support for energy efficient building renovations. It will support EU ASE’s work on two streams of activities to achieve this objective: 1. EU ASE will seek to improve the quality of energy efficiency investments of Cohesion Policy funds in CountryY through direct engagement with regional authorities on the implementation of their operational programmes; 2. EU ASE will seek to integrate financing provisions in the EU legal framework for energy efficiency, by integrating sustainable finance into the work of EU ASE’s Advocacy Working Group.","to promote financing of energy efficient building renovations, through engagement with regional authorities in CountryY on the implementation of Cohesion Policy investments and integrating financing, including innovative finance solutions, in the EU regulatory framework through the negotiation of the Fit-for-55 package, including the EED and EPBD.",Financing energy efficiency of Europe's buildings,0,Pat Taylor,closed,managed,,,,
G-2205-80,99511,Next Approval Cycle,2023-09-07,"The project aims at assessing the root causes of energy poverty and energy distress among disadvantaged communities and poor segments of society in different municipalities in CountryY. The expert involved in the project will investigate the financial, legal, and technical constraints that prevents a just energy transition to happen at local level. FDD will work closely with local authorities, private and public organizations to better understand what are the solutions that have to be deployed according to the specific circumstances of the urban context and the needs of the targeted audience. Besides the experts will also seek to develop a comprehensive methodology for analyzing and addressing energy issues and find appropriate solutions. This methodology could then be made available to other municipalities in the national territory and provide them with a concrete toolkit to increase energy welfare among vulnerable groups in their communities. Finally, this project will also shed more light on the need for a just energy and social transition in CountryY highlighting the inconsistencies of national policies and the misallocation of national economic resources to address the current energy crisis affecting many segments of the Italian society. These recommendations will be delivered to local and national policy makers asking for drastic legislative and investment interventions.",to assess the root causes of energy distress among disadvantaged communities in CountryY and identify policy tools that can improve the energy welfare of these vulnerable groups,Root Causes of Energy Poverty In 5 Municipalities,0,Jordan Davis,granted,managed,,,,
G-2205-81,268576,Next Approval Cycle,2024-02-21,"The project aims to address key legislative gaps on the way to from coal to clean: low target for RES development by 2030 (only 22%), insufficient (financial and administrative) support of RES from the state - especially PV which has the best potential,  lacking operational financial support of photovoltaics, long and slow process of approving and connecting roof photovoltaics, non existent legal definition and rules for community energy projects and lacking support for low-income households in need to switch from their fossil energy sources.","to redraw the Czech energy outlook and move the transformation towards climate neutrality, by reducing dependence on Russian gas, clear timetable for coal phase-out and adopting an ambitious plan to RES development involving people, municipalities and small companies in this plan (through community energy)",Pushing forward the energy transition in context of war and soaring energy prices,0,Alex Johnson,closed,managed,,,,
G-2205-82,243321,Next Approval Cycle,2022-03-11,"The project idea is well aligned with the key priority outlined in the European Green Deal package, namely the increase of offshore wind capacity across all of Europe's sea basins establishing the global leadership position of EU companies in the sector. The proposed action also builds on a previous CSD evaluation of the technical and economic potential of the Bulgarian territorial waters and EEZ (exclusive economic zones) for green power generation, analytical overview of the regulatory regimes for offshore wind power in the advanced EU countries as well as modelling different long-term decarbonisation scenarios for the SEE region.

The introduction of a separate offshore wind energy law will solve the outstanding legal conflicts and unclear legal positions that could be related to the building of energy generation power plans in the Black Sea and sustainable exploitation of natural resources at sea. The proposed legal framework will assign and align responsibilities of the competent institutions, mandating them to establish stronger administrative capacity and intra-institutional coordination on offshore wind energy projects. Furthermore, it will strengthen collaboration and cohesion with neighboring EU countries in the development of shared energy and transport infrastructure, which is an important step towards improved energy security in the light of the threats coming from Russia and the urgent need for more energy solidarity among the member states.","to develop a legal framework for offshore wind energy projects' planning, support and implementation in the Black Sea",Offshore wind energy law in BG,0,Pat Taylor,closed,managed,,,,
G-2205-83,144410,Next Approval Cycle,2023-08-22,The project is a continuation of the initiative (esg.instrat.pl) implemented in 2021 - which resulted in creation of the first data base on climate goals and strategies of publicly listed companies in the Central and Eastern Europe. As a follow-up the grantee extend a list of monitored companies and will continue education of the key financial market stakeholders about strategic implications of net zero targets,to raise awareness about incompatibility of the climate goals of companies listed in the Warsaw Stock Exchange with the goals of the Paris Agreement and incentivize investors to redirect capital towards companies with high climate performance.,climate goals of companies listed in the Warsaw Stock Exchange,0,Pat Taylor,closed,managed,,,,
G-2205-84,184263,Next Approval Cycle,2023-05-30,"The purpose of the grant is to finance the second phase of the preparation for the national citizens climate assembly. This the first initiative of its kind. It follows over 5 years of municipal assemblies run in large Polish cities (Gdansk, Warszawa, Lódz, Poznan). The aim of the national assembly is to find publicly acceptable answer for a question about distribution of energy transition costs. For now vast majority of financial burdens are transferred to SMEs. But further transitional developments will translate into higher and higher costs that has to be covered either by large scale industry or households or both. The national climate citizens assembly will help in understanding to what extent citizens are ready to participate in costs of the transition and which consumers’ groups should be protected from additional financial burdens.",to conduct first nationwide citizen’s assembly on energy poverty in CountryX in the broader context of just energy transition,energy poverty in CountryX,0,Jamie Smith,closed,managed,,,,
